ZIP,Earthquake_Risk_Score,Earthquake_Risk_Explanation,Flood_Control_District,Wildfire_Hazard_Level,Flood_Risk_Score,Flood_Risk_Explanation,Wildfire_Risk_Score,Wildfire_Risk_Explanation
94612,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94608,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94609,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94618,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94702,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94703,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94704,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94705,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94709,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94710,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94720,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94601,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94602,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94611,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94613,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94619,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94706,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Moderate,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",5,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Moderate). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94707,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94708,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94538,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94555,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",AE,High,8,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (AE). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94560,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",AE,High,8,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (AE). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94539,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94550,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94536,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94542,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94544,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94545,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94587,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94541,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94546,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94552,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94578,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94580,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94566,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94568,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94586,10,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (less than about 0.5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94588,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
